zone,train_samples,val_samples,test_samples,image_shape
301 - Sheridan Harvard Lot,34757,7429,7430,"(1, 24, 24)"
302 - Sheridan Kirkwood Lot,34761,7430,7431,"(1, 24, 24)"
304 - Tamello Beatty Lot,34760,7430,7430,"(1, 24, 24)"
307 - Eva Beatty Lot,34761,7430,7431,"(1, 24, 24)"
308 - Harvard Beatty Lot,9470,2011,2011,"(1, 24, 24)"
311 - Ansley Beatty Lot,31634,6760,6761,"(1, 24, 24)"
314 - Penn Circle NW Lot,34759,7430,7430,"(1, 24, 24)"
321 - Beacon Bartlett Lot,34761,7430,7430,"(1, 24, 24)"
322 - Forbes Shady Lot,34761,7430,7430,"(1, 24, 24)"
323 - Douglas Phillips Lot,34759,7430,7430,"(1, 24, 24)"
324 - Forbes Murray Lot,34761,7430,7430,"(1, 24, 24)"
325 - JCC/Forbes Lot,34761,7430,7431,"(1, 24, 24)"
328 - Ivy Bellefonte Lot,34762,7430,7431,"(1, 24, 24)"
329 - Centre Craig,15368,3275,3275,"(1, 24, 24)"
331 - Homewood Zenith Lot,31616,6756,6757,"(1, 24, 24)"
334 - Taylor Street Lot,34761,7430,7430,"(1, 24, 24)"
335 - Friendship Cedarville Lot,34761,7430,7431,"(1, 24, 24)"
337 - 52nd & Butler Lot,34756,7429,7430,"(1, 24, 24)"
338 - 42nd & Butler Lot,34760,7430,7430,"(1, 24, 24)"
341 - 18th & Sidney Lot,34760,7430,7430,"(1, 24, 24)"
342 - East Carson Lot,34760,7430,7430,"(1, 24, 24)"
343 - 19th & Carson Lot,34760,7430,7430,"(1, 24, 24)"
344 - 18th & Carson Lot,34761,7430,7431,"(1, 24, 24)"
345 - 20th & Sidney Lot,34761,7430,7430,"(1, 24, 24)"
351 - Brownsville & Sandkey Lot,34759,7429,7430,"(1, 24, 24)"
354 - Walter/Warrington Lot,20173,4304,4304,"(1, 24, 24)"
355 - Asteroid Warrington Lot,34759,7429,7430,"(1, 24, 24)"
357 - Shiloh Street Lot,34766,7431,7431,"(1, 24, 24)"
361 - Brookline Lot,30535,6525,6525,"(1, 24, 24)"
363 - Beechview Lot,27145,5798,5798,"(1, 24, 24)"
369 - Main/Alexander Lot,29094,6216,6216,"(1, 24, 24)"
371 - East Ohio Street Lot,34758,7429,7430,"(1, 24, 24)"
375 - Oberservatory Hill Lot,31244,6676,6677,"(1, 24, 24)"
401 - Downtown 1,34761,7430,7430,"(1, 24, 24)"
402 - Downtown 2,34763,7431,7431,"(1, 24, 24)"
403 - Uptown,34761,7430,7430,"(1, 24, 24)"
404 - Strip Disctrict,34760,7430,7430,"(1, 24, 24)"
405 - Lawrenceville,34759,7430,7430,"(1, 24, 24)"
406 - Bloomfield (On-street),34761,7430,7430,"(1, 24, 24)"
407 - Oakland 1,34761,7430,7430,"(1, 24, 24)"
408 - Oakland 2,34760,7430,7430,"(1, 24, 24)"
409 - Oakland 3,34761,7430,7430,"(1, 24, 24)"
410 - Oakland 4,34760,7430,7430,"(1, 24, 24)"
411 - Shadyside,34761,7430,7430,"(1, 24, 24)"
412 - East Liberty,34760,7430,7430,"(1, 24, 24)"
413 - Squirrel Hill,34761,7430,7430,"(1, 24, 24)"
414 - Mellon Park,34759,7430,7430,"(1, 24, 24)"
415 - SS & SSW,34760,7430,7430,"(1, 24, 24)"
416 - Carrick,23566,5031,5031,"(1, 24, 24)"
417 - Allentown,23683,5056,5057,"(1, 24, 24)"
418 - Beechview,23636,5046,5046,"(1, 24, 24)"
419 - Brookline,34759,7429,7430,"(1, 24, 24)"
420 - Mt. Washington,29011,6198,6198,"(1, 24, 24)"
421 - NorthSide,34760,7430,7430,"(1, 24, 24)"
422 - Northshore,34759,7430,7430,"(1, 24, 24)"
423 - West End,23568,5031,5032,"(1, 24, 24)"
424 - Technology Drive,34761,7430,7431,"(1, 24, 24)"
425 - Bakery Sq,20797,4438,4438,"(1, 24, 24)"
426 - Hill District,13051,2778,2778,"(1, 24, 24)"
427 - Knoxville,9289,1972,1972,"(1, 24, 24)"
